,index,damage_given,damage_received,damage_healed,toxic_damage_taken,hazard_damage_taken,burn_damage_taken,poison_damage_taken,life_orb_damage_taken,stealth_rock_damage_taken,spike_damage_taken,buff_received,recoil_damage_taken,week,trainer
4,Gastrodon,-22.0,-338.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,thewillager
5,Nidoqueen,43.0,-91.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,-2.0,0.0,3,thewillager
6,Greninja,215.0,0.0,0.0,-70.0,0.0,0.0,-5.0,0.0,0.0,-25.0,0.0,0.0,3,moof710
7,Blissey,163.0,-48.0,71.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,moof710
8,Amoonguss,295.0,-209.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3,moof710
9,Hydreigon,9.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,moof710
10,Dugtrio,104.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,moof710
11,Froslass,32.0,-64.0,0.0,-18.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,3,moof710
0,Espeon,44.0,-75.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,notabot1234
1,Krookodile,87.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,notabot1234
2,Tentacruel,33.0,-60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,notabot1234
3,Heatran,37.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,notabot1234
4,Tornadus-Therian,236.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,notabot1234
5,Porygon-Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,notabot1234
6,Infernape,135.0,-40.0,0.0,-18.0,0.0,0.0,0.0,-30.0,-12.0,0.0,2.0,0.0,3,sonofringo
7,Lanturn,126.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,-1.0,0.0,3,sonofringo
8,Gliscor,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,3,sonofringo
9,Golurk,60.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,-1.0,0.0,3,sonofringo
10,Skarmory,60.0,-45.0,0.0,0.0,0.0,-12.0,0.0,0.0,-25.0,0.0,0.0,-18.0,3,sonofringo
11,Cresselia,36.0,-120.0,86.0,-42.0,0.0,0.0,0.0,0.0,-24.0,0.0,1.0,0.0,3,sonofringo
0,Eelektross,84.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,ryanmali
1,Keldeo,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,ryanmali
2,Ferrothorn,0.0,-38.0,13.0,0.0,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,3,ryanmali
3,Kyurem,290.0,-58.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,3,ryanmali
4,Donphan,103.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,ryanmali
5,Florges-Blue,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,ryanmali
6,Excadrill,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,3,6utter
7,Tyranitar,100.0,-113.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,6utter
8,Gardevoir,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3,6utter
9,Crobat,126.0,-53.0,12.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,-35.0,3,6utter
10,Seismitoad,90.0,-136.0,42.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,3,6utter
11,Scrafty,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,3,6utter
0,Clefable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,jmils9
1,Zoroark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,jmils9
2,Salamence,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,jmils9
3,Swampert,62.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,jmils9
4,Alakazam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,jmils9
5,Scizor,37.0,-149.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,jmils9
6,Hippowdon,0.0,-94.0,13.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,3,gscalfaro7
7,Victini,64.0,-62.0,0.0,0.0,0.0,0.0,0.0,-13.0,-25.0,0.0,0.0,0.0,3,gscalfaro7
8,Milotic,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,3,gscalfaro7
9,Drapion,36.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,3,gscalfaro7
10,Rotom-Mow,85.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,-2.0,0.0,3,gscalfaro7
11,Mew,64.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,3,gscalfaro7
0,Moltres,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,crystopperpkmn
1,Landorus-Therian,160.0,-85.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,crystopperpkmn
2,Celebi,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,crystopperpkmn
3,Skuntank,322.0,-137.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,crystopperpkmn
4,Sylveon,89.0,-155.0,142.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,4,crystopperpkmn
5,Tauros,92.0,-91.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,4,crystopperpkmn
6,Latias,87.0,-169.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,thewillager
7,Quagsire,130.0,-138.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,4,thewillager
8,Starmie,110.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,thewillager
9,Diancie,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,thewillager
10,Flygon,50.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,thewillager
11,Nidoqueen,191.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4,thewillager
0,Zapdos,60.0,-17.0,12.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,4,mattchumaniac44
1,Garchomp,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,4,mattchumaniac44
2,Umbreon,44.0,-97.0,60.0,0.0,0.0,-39.0,0.0,0.0,-24.0,0.0,-1.0,0.0,4,mattchumaniac44
3,Metagross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,4,mattchumaniac44
4,Granbull,80.0,-29.0,0.0,0.0,0.0,-51.0,0.0,0.0,-20.0,0.0,0.0,0.0,4,mattchumaniac44
5,Jellicent,335.0,-203.0,251.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,0.0,4,mattchumaniac44
6,Clefable,10.0,-112.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,jmils9
7,Salamence,95.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,-1.0,0.0,4,jmils9
8,Swampert,57.0,-131.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4,jmils9
9,Alakazam,87.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,jmils9
10,Cloyster,36.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,4,jmils9
11,Scizor,61.0,-224.0,149.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,4,jmils9
0,Aromatisse,29.0,-114.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,notabot1234
1,Krookodile,77.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,notabot1234
2,Tentacruel,15.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,4,notabot1234
3,Heatran,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,notabot1234
4,Tornadus-Therian,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,notabot1234
5,Porygon-Z,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,notabot1234
6,Whimsicott,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4,kaiser cauto
7,Ditto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,kaiser cauto
8,Thundurus-Therian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,kaiser cauto
9,Suicune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,kaiser cauto
10,Snorlax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,kaiser cauto
11,Slurpuff,664.0,-94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,kaiser cauto
0,Hippowdon,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,gscalfaro7
1,Victini,100.0,-90.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,4,gscalfaro7
2,Milotic,46.0,-56.0,0.0,-42.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,4,gscalfaro7
3,Drapion,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,gscalfaro7
4,Rotom-Mow,47.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4,gscalfaro7
5,Mew,51.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,gscalfaro7
6,Azumarill,92.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,joji27
7,Jirachi,152.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,joji27
8,Gligar,0.0,-47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,joji27
9,Politoed,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,joji27
10,Kingdra,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,4,joji27
11,Thundurus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,joji27
0,Keldeo,441.0,0.0,48.0,-121.0,0.0,0.0,-27.0,0.0,0.0,0.0,0.0,0.0,4,ryanmali
1,Eelektross,455.0,-80.0,237.0,-186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,ryanmali
2,Ferrothorn,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,ryanmali
3,Kyurem,23.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4,ryanmali
4,Donphan,0.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,ryanmali
5,Meloetta,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4,ryanmali
6,Greninja,17.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,moof710
7,Togekiss,0.0,-88.0,12.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,4,moof710
8,Blissey,80.0,-673.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,moof710
9,Blaziken,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,moof710
10,Machamp,144.0,-63.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,0.0,-2.0,0.0,4,moof710
11,Hydreigon,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,moof710
0,Cofagrigus,0.0,-107.0,19.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,2.0,0.0,4,sonofringo
1,Arcanine,97.0,-137.0,62.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-3.0,0.0,4,sonofringo
2,Infernape,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-6.0,0.0,4,sonofringo
3,Lanturn,242.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,sonofringo
4,Gliscor,87.0,-100.0,24.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,4,sonofringo
5,Noivern,74.0,-100.0,44.0,0.0,0.0,0.0,0.0,-19.0,-25.0,0.0,-1.0,0.0,4,sonofringo
6,Nidoking,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,4,bman5422
7,Entei,179.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-2.0,0.0,4,bman5422
8,Dragonite,106.0,-32.0,0.0,0.0,0.0,-61.0,0.0,0.0,0.0,0.0,1.0,0.0,4,bman5422
9,Empoleon,200.0,-132.0,38.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,4,bman5422
10,Xatu,21.0,-252.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,bman5422
11,Tangrowth,38.0,-106.0,19.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,-1.0,0.0,4,bman5422
0,Shuckle,15.0,-130.0,55.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,4,tomatotommaso
1,Claydol,29.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,4,tomatotommaso
2,Shaymin,86.0,-19.0,31.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,4,tomatotommaso
3,Piloswine,363.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,1.0,0.0,4,tomatotommaso
4,Rotom-Wash,48.0,-135.0,72.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,4,tomatotommaso
5,Virizion,137.0,-25.0,0.0,0.0,0.0,0.0,0.0,-69.0,-6.0,0.0,0.0,0.0,4,tomatotommaso
6,Excadrill,7.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4,6utter
7,Tyranitar,107.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6utter
8,Gardevoir,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4,6utter
9,Crobat,54.0,-95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,4,6utter
10,Seismitoad,52.0,-156.0,93.0,0.0,0.0,-37.0,0.0,0.0,0.0,0.0,-2.0,0.0,4,6utter
11,Scrafty,213.0,-127.0,88.0,0.0,0.0,-61.0,0.0,0.0,0.0,0.0,10.0,0.0,4,6utter
0,Moltres,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,crystopperpkmn
1,Landorus-Therian,405.0,-137.0,121.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,5,crystopperpkmn
2,Celebi,76.0,-23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,crystopperpkmn
3,Skuntank,22.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,5,crystopperpkmn
4,Sylveon,0.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,crystopperpkmn
5,Registeel,84.0,-39.0,36.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-4.0,0.0,5,crystopperpkmn
6,Excadrill,90.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-5.0,0.0,5,6utter
7,Tyranitar,24.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5,6utter
8,Mienshao,36.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5,6utter
9,Crobat,4.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,5,6utter
10,Jolteon,57.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6utter
11,Seismitoad,56.0,-217.0,123.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,5,6utter
0,Zapdos,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,mattchumaniac44
1,Garchomp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,mattchumaniac44
2,Umbreon,143.0,-81.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5,mattchumaniac44
3,Metagross,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,mattchumaniac44
4,Roselia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,mattchumaniac44
5,Jellicent,121.0,-338.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,mattchumaniac44
6,Eelektross,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,ryanmali
7,Kyurem,82.0,-47.0,46.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,-4.0,0.0,5,ryanmali
8,Donphan,154.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,5,ryanmali
9,Hoopa,152.0,-113.0,50.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,5,ryanmali
10,Meloetta,31.0,-107.0,44.0,0.0,0.0,0.0,-13.0,0.0,-24.0,0.0,0.0,0.0,5,ryanmali
11,Florges-Orange,0.0,-108.0,107.0,0.0,0.0,0.0,-49.0,0.0,-50.0,0.0,0.0,0.0,5,ryanmali
0,Latias,35.0,-117.0,50.0,-25.0,0.0,0.0,-8.0,0.0,0.0,0.0,2.0,0.0,5,thewillager
1,Ninetales,226.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5,thewillager
2,Starmie,40.0,-60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,thewillager
3,Leafeon,140.0,-196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5,thewillager
4,Azelf,216.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,thewillager
5,Nidoqueen,277.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,thewillager
6,Serperior,55.0,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5,kaiser cauto
7,Bronzong,0.0,-163.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,kaiser cauto
8,Thundurus-Therian,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,kaiser cauto
9,Forretress,158.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,kaiser cauto
10,Suicune,142.0,-305.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5,kaiser cauto
11,Snorlax,133.0,-216.0,129.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,4.0,0.0,5,kaiser cauto
0,Aromatisse,267.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-1.0,0.0,5,notabot1234
1,Breloom,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,5,notabot1234
2,Espeon,176.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,5,notabot1234
3,Sableye,0.0,-125.0,139.0,0.0,0.0,-12.0,0.0,0.0,-12.0,0.0,0.0,0.0,5,notabot1234
4,Heatran,0.0,-60.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,notabot1234
5,Tornadus-Therian,69.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,5,notabot1234
6,Clefable,132.0,-137.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,jmils9
7,Salamence,29.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,jmils9
8,Swampert,125.0,-12.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,5,jmils9
9,Alakazam,52.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,jmils9
10,Cloyster,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5,jmils9
11,Scizor,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,jmils9
0,Cofagrigus,0.0,0.0,55.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,sonofringo
1,Infernape,199.0,-52.0,0.0,-19.0,0.0,0.0,0.0,-29.0,0.0,0.0,-4.0,0.0,5,sonofringo
2,Cresselia,17.0,-66.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,sonofringo
3,Lanturn,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,sonofringo
4,Noivern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,sonofringo
5,Golurk,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,sonofringo
6,Greninja,100.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,5,moof710
7,Togekiss,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,5,moof710
8,Blissey,0.0,-17.0,81.0,-46.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,5,moof710
9,Staraptor,66.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0,-16.0,5,moof710
10,Hydreigon,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-2.0,0.0,5,moof710
11,Froslass,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,5,moof710
0,Azumarill,69.0,-63.0,0.0,0.0,0.0,-13.0,0.0,0.0,-24.0,0.0,-4.0,0.0,5,joji27
1,Jirachi,86.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-1.0,0.0,5,joji27
2,Gligar,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,5,joji27
3,Politoed,188.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,-2.0,0.0,5,joji27
4,Kingdra,50.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,0.0,-5.0,0.0,5,joji27
5,Thundurus,98.0,-69.0,18.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0,0.0,5,joji27
6,Nidoking,150.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,bman5422
7,Dragonite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,bman5422
8,Empoleon,124.0,-74.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,bman5422
9,Gastrodon,51.0,-124.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,bman5422
10,Galvantula,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,bman5422
11,Tangrowth,129.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,bman5422
0,Latios,198.0,-110.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,5,tomatotommaso
1,Shuckle,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,tomatotommaso
2,Claydol,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,tomatotommaso
3,Shaymin,186.0,-68.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,tomatotommaso
4,Piloswine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,tomatotommaso
5,Rotom-Wash,88.0,-110.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,tomatotommaso
6,Hippowdon,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,gscalfaro7
7,Victini,135.0,-46.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0,-3.0,0.0,5,gscalfaro7
8,Milotic,60.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,gscalfaro7
9,Drapion,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,gscalfaro7
10,Rotom-Mow,204.0,-26.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,-4.0,0.0,5,gscalfaro7
